annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2019/2020,False,0033,Economia e amministrazione delle imprese,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0033,Rimini,,Economia e management,Laurea,3,False,,,,libero
2019/2020,False,0034,Economia e management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0034,Rimini,,Economia e management,Laurea,3,False,,,,libero
2019/2020,False,0659,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0659,Bologna,Bologna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,False,0660,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0660,Ravenna,Ravenna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,0881,Architettura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0881,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2019/2020,True,0884,Chimica industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0884,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,0894,Economia e gestione delle imprese,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0894,Bologna,,Economia e management,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0897,Direzione aziendale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0897,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,True,0900,Economia e professione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0900,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,0901,"Finanza, intermediari e mercati",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0901,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,Italiano,numero chiuso
